"","Id","Date","count(*)"
"149","-F1LDUlKZnhsyF386nzA_w","1/31/2016",1
"150","-FL3-KW6RNl7qyJnksnpLg","2/12/2016",1
"151","-FL3-KW6RNl7qyJnksnpLg","3/1/2015",1
"152","-FL3-KW6RNl7qyJnksnpLg","9/24/2014",1
"153","-FYJLnTQhfrsZbxJ63OBCw","4/20/2014",1
"154","-FbeEpgf01NyTDdBcXtgVg","12/9/2010",1
"155","-FdK7x4gtbo43Xl-bxIruA","5/3/2015",1
"156","-FdtcO35IKoBAqNZBYG2ww","9/23/2015",1
"157","-FgMkABFBn89n61hZUGjgg","2/13/2016",1
"158","-Fn8VFQrwjZpi50nsue1wQ","2/22/2015",1
"159","-Fy0zGtC2RJoVOaK_Zbxfw","3/1/2015",1
"160","-G-vu4je1EURGmzurMEC8A","9/7/2015",1
"161","-G8ofpuP4KY3T7PbFWXb9Q","2/26/2014",1
"162","-GK0vd6T2F97IJEf0vLGXw","11/14/2015",1
"163","-GLhszrtHhVz9bYY5_QCCw","11/19/2014",1
"164","-GPb064YiWLdTzzTKqyN1w","7/2/2015",1
"165","-GRgUAsk9gD7wW2PzW4l3A","10/8/2015",1
"166","-GUfLOb7E5Wug0FWZMqLAg","6/30/2015",1
"167","-GWvBB5_35zYIfW0Rcay4A","6/28/2015",1
"168","-GXZZYGGWK05hMyjGM0eRw","11/23/2015",1
"169","-GayORFHzyKaxJmTVdp-2A","1/28/2015",1
"170","-GayORFHzyKaxJmTVdp-2A","1/8/2016",1
"171","-GjvhDc4H6TpvLV3V-lu3w","12/27/2015",1
"172","-GnOgyF-MubDpIcrX3XY-A","11/25/2015",1
"173","-GpXj7VF3P-kMQQoyvpOcQ","1/6/2015",1
"174","-H1RFWqV6brOhCfyaJFGtw","9/12/2015",1
"175","-H2gVHDobSLxHNci2H4ggg","5/21/2014",1
"176","-H2gVHDobSLxHNci2H4ggg","6/8/2014",1
"177","-H2gVHDobSLxHNci2H4ggg","7/22/2014",1
"178","-H2gVHDobSLxHNci2H4ggg","8/1/2015",2
"179","-HYUX74pTzm-b2nh_FV2Hw","10/6/2015",1
"180","-HeFMUn9OBQZRaWVOa819A","8/6/2011",1
"181","-IBeMzPqYdJfdVib1-ZXvg","9/26/2015",1
"182","-IJ84YV9SZVCyB_u0sgA0A","6/12/2013",1
"183","-IPRZclyLO0QDNKosowfhQ","2/6/2016",1
"184","-IRgcXOHQBQqnzSfzY6uNw","5/4/2015",1
"185","-IbjBfmclA_GD_pjrQTVUw","12/9/2012",1
"186","-IswtZ78rzCHMqJkwF6OWA","9/6/2015",1
"187","-J2Y1-6p5_svY-V8WBy8yQ","12/6/2015",1
"188","-JAFriLfHOxYFkE3BKOPZQ","3/9/2016",1
"189","-JE88hHLWiaBYZk24M2otg","1/12/2014",1
"190","-JLrlqSv3ABYE3oTjpGQUg","3/14/2016",1
"191","-JLrlqSv3ABYE3oTjpGQUg","3/23/2016",1
"192","-JnGIHQo9hJqWgcYsH9wFw","4/23/2015",1
"193","-K79Xep4lElqIChsJYWuiQ","2/26/2015",1
"194","-K79Xep4lElqIChsJYWuiQ","3/6/2015",1
"195","-Kdooq_MH7QyFU5haZXeGg","11/21/2015",1
"196","-KfDz6mMbMjCwYCb5SL0og","12/27/2015",1
"197","-KqzNiweVkmH59dywaFRwg","3/6/2011",1
"198","-L3B9YB22Xs-PL_P_y19jQ","5/22/2013",1
"199","-L3B9YB22Xs-PL_P_y19jQ","6/10/2015",1
"200","-L3B9YB22Xs-PL_P_y19jQ","6/2/2014",1
"201","-L4h7dz6eqMdAf7_IZhfSw","10/29/2012",1
"202","-L8AUNauMrCJFKQOvM1pBA","6/28/2015",1
"203","-LCZ7EsvsFKfTmdf0H-G-Q","3/18/2016",1
"204","-LQ0LKwwSwVCSEln4uHyRQ","2/2/2014",1
"205","-LTJiKqHpY1rnrgZJwxsXQ","6/20/2014",1
"206","-LY3sNr3N4OnQJFmiDTUXQ","1/26/2016",1
"207","-LmbUuKDohaIfdcGQuT2XQ","10/19/2014",1
"208","-Lr2oHQXavAdWmOKCB4r8g","1/10/2016",1
"209","-LxGZOThl9vdPId_jbJF0Q","11/19/2013",1
"210","-M6pjbBwWfMOnQjxz7yg_w","3/16/2016",2
"211","-MF_lP11rDbnOMRTdOzcNg","1/31/2016",1
"212","-MHioSAZa9FDeEzY8SKlBQ","12/16/2014",1
"213","-ML9kuQBg7TLDBlexdNqYg","11/3/2015",1
"214","-ML9kuQBg7TLDBlexdNqYg","9/28/2015",1
"215","-MUs8BVs6yVtim9FNVocTw","3/1/2015",1
"216","-Mm8MLRu7BvApF1csS60pw","10/12/2015",1
"217","-Mm8MLRu7BvApF1csS60pw","6/5/2015",1
"218","-NIPsSOtFiUWv9EBuMU3SQ","4/22/2013",1
"219","-NcMdRFNbQecB_6K90aulQ","3/20/2016",1
"220","-NmbA_hDvBC0REyLUhL9Bw","10/2/2015",1
"221","-Nmw1DJNseWYkqa9qTPpTw","1/16/2013",1
"222","-Nmw1DJNseWYkqa9qTPpTw","11/7/2014",1
"223","-Nt6dbm0O3CoZLZ9YvdtUw","4/25/2014",1
"224","-Nt6dbm0O3CoZLZ9YvdtUw","4/30/2014",1
"225","-O559JaEPHj0v7XrWxF0ig","3/24/2013",1
"226","-O6wi2w9ovssW5uP-VFqGw","1/11/2016",1
"227","-OQL1i1tmpnZKkebCZSknQ","4/23/2015",1
"228","-OYqPlsR7fZxep2w4vq2OQ","11/7/2015",1
"229","-OmLWqUutGf1jCungJqpwA","8/30/2013",1
"230","-OncuMgWULJTeCWBLIooNg","2/28/2016",1
"231","-OyqPVx5cc_g3vu58y_67Q","11/7/2014",1
"232","-P51DxGgxcv3pfoALuP41A","4/19/2013",1
"233","-P54o-pBFuli_XAd2liblw","3/18/2016",1
"234","-PVFX-1_gLX3sud53osBRw","4/30/2012",1
"235","-PWTC7uRml8hpgbt0m0FyQ","6/17/2014",1
"236","-PjK81Pls9DWca_c1I32RA","3/12/2014",1
"237","-PmOzlQxCSiiPvWTtGmZOw","12/25/2008",1
